"(Make sure you keep it in a safe place.)","(تاكد انك وضعتها في مكان امن.)"
"(Optional. Leave blank for no prefix)","(اختياري.اتركه فارغا لعدم استخدام بادئة)"
"(ver. %s)","(إصدار %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.)."
"Admin Path","Admin Path"
"After successfull installation please click the button below.","من فضلك اضغط على الزر بالأسفل بعد نجاح التنصيب."
"All packages were installed successfully, click 'Ok' to continue with installation","تم تنصيب كل الحزم بنجاح،اضغط على موافق للاستمرار بالتنصيب"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","يمكنك اختياريا تجربة طريقة التنزيلات والترقيات اليدوية."
"Base URL","Base URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","قبل الاستمرار لمتجرك، من فضلك اكتب مفتاح التشفير الخاص بك (ماجينتو تستخدمه لتشفير كلمات المرور، بطاقات الائتمان وغيرها)."
"Check out our","تحقق من"
"Check this box only if it is not possible to automatically validate Base URL.","Check this box only if it is not possible to automatically validate Base URL."
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","اختر هذا المربع الا اذا كان من غير الممكن التحقق تلقائيا الى موقع آمن ، على سبيل المثال اذا كان المطلوب هو http://www.dis-arb.de التوثيق."
"Choose this if you would like to test frontend and backend functionality.","اختر هذا الخيار اذا كنت ترغب في اختبار وظائف الواجهة الاماميه والخلفية."
"Configuration","الإعداد"
"Confirm Password","تأكيد كلمة المرور"
"Connection","الاتصال"
"Continue","استمرار"
"Continue After Manual Download","استمر بعد التنزيل اليدوي"
"Continue Full Download / SVN Installation","الاستمرار في تحميل كامل / تركيب SVN"
"Create Admin Account","إنشاء حساب مدير"
"Currently this is the most stable state available for Magento packages.","حاليا هذه أكثر الحالات استقرار المتوفرة لحزم ماجينتو."
"Database","Database"
"Database Connection","الاتصال بقاعدة البيانات"
"Database Name","اسم قاعدة البيانات"
"Database connection error","خطأ في الاتصال بقاعدة البيانات"
"Database host","مضيف قاعدة البيانات"
"Database server does not support InnoDB storage engine","Database server does not support InnoDB storage engine"
"Database server version does not match system requirements (required: %s, actual: %s)","Database server version does not match system requirements (required: %s, actual: %s)"
"Database user name","اسم مستخدم قاعدة البيانات"
"Database user password","كلمة مرور مستخدم قاعدة البيانات"
"Default Currency","العملة الافتراضية"
"Download","تنزيل"
"Download Magento Core Modules and Updates","تحميل magento الوحدات الاساسية والتحديثات"
"Downloading and installing Magento, please wait...","جار تنزيل وتنصيب ماجينتو، الرجاء الانتظار..."
"Email","البريد الإلكتروني"
"Email Address","عنوان البريد الإلكتروني"
"Enable this option only if you have SSL available.","تمكين هذا الخيار الا اذا كان لديك SSL متاحة."
"Encryption Key","مفتاح التشفير"
"File system","File system"
"First Name","الاسم الأول"
"Full Download / SVN Installation","تحميل كاملة / تركيب SVN"
"Get ready to experience Open-Source eCommerce Evolved.","استعد لتجربة تطور التجارة الإلكترونية مفتوحة المصدر."
"Go to Backend","اذهب الى الخلفية"
"Go to Frontend","اذهب الى الواجهة"
"Having trouble installing Magento?","هل لديك مشكلة في تنصيب ماجينتو؟"
"Help Us to Keep Magento Healthy","ساعدنا في المحافظة على سلامة ماجينتو"
"Host","مضيف"
"I agree to the above terms and conditions","أوافق على شروط الاستخدام"
"If you are a developer and would like to have the latest public updates, choose this option.","إذا كنت مطورا وتود الحصول على آخر التحديثات العامة، اختر هذا الخيار."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","اذا كنت تقوم بتشغيل ما CGI بي. اتش. بى ، بي. اتش. بى الخاص بك قد يتعارض مع العمليات في اطار نفس المستخدم للمستخدم كما كنت تستخدم عند تحميل ملفات magento."
"If you are running install wizard over previously downloaded and installed Magento installation, proceed with this method.","إذا كنت تستخدم معالج التنصيب فوق نسخة ماجينتو منصبة سابقا، استمر مع هذه الطريقة."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","اذا كنت لا ترغب او لا تستطيع ان يكون قابل للكتابة مجلدات magento الشبكه العالمية لهذه العملية ، يمكنك ان تستعمل الكمثرى للتنفيذ الموجودة في الجذر من تركيب magento."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","اذا كنت قد قمت بتحميل مجموعة كاملة او عن طريق تركيب magento SVN ، يجب عليك ان تخطى الحزم وتركيب والمصادقه بالنقر على الزر ادناه."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","اذا كنت ترغب في ادارة magento الحزم عبر الشبكه واجهة الادارة ، سوف تحتاج الى اذونات قابل للكتابة على الشبكه العالمية قد تطبق على جميع الملفات والمجلدات magento."
"If your server is running on MS Windows, most probably you will not need to change anything.","إذا كان خادمك يعمل على ميكروسوفت ويندوز، فغالبا أنت لا تحتاج لتغيير أي شيء."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","في الحالات الأخرى أنت تحتاج لجعل ملفات ماجينتو قابلة للكتابة بالنسبة للمستخدم الذي تعمل تحته عملية خادم الويب."
"Installation","تنصيب"
"Installation Guide","مرشد التنصيب"
"Last Name","اسم العائلة"
"Locale","محلي"
"Locale settings","اوضاع محلية"
"Localization","موضعة"
"Login Information","معلومات تسجيل الدخول"
"Magento","ماجينتو"
"Magento Installation Wizard","معالج تنصيب ماجينتو"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento هي العلامه التجارية للشركة استشاريه irubin ديسيبل varien. جميع الحقوق محفوظة ©; %s Irubin استشارة لجنة التفاوض الحكوميه الدولية."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","ماجينتو تستخدم هذا المفتاح لتشفير كلمات المرور وبطاقات الائتمان وغيرها.إذا ترك هذا الحقل فارغا فسيقوم النظام بإنشاء مفتاح تشفير خاص بك وعرضه في الصفحة التالية."
"Manual Downloads and Upgrades","التنزيلات والترقيات اليدوية"
"One from PHP Extensions ""%s"" must be loaded"," PHP احد من التمديدات ""%s"" يجب ان تحمل"
"PHP Extension ""%s"" must be loaded","PHP تحويلة ""%s"" يجب ان تحمل"
"PHP Extension '%s' loaded","PHP تحويلة '%s' تحميل"
"Package Management through the Web","إدارة الحزم عن طريق الويب"
"Password","كلمة المرور"
"Password Confirmation","تأكيد كلمة المرور"
"Path ""%s"" must be writable","المسار ""%s"" يجب أن يكون قابلا للكتابة"
"Personal Information","بيانات شخصية"
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","يرجى التأكد من ان <code>mod_rewrite </ قانون> تمكين اباتشي في التكوين."
"Please note that it is much less stable than beta.","من فضلك لاحظ أنه أقل استقرارا من بيتا."
"Please note that only UNIX, Linux and Mac OSX shells are currently supported. For Windows use the '%s' option.","يرجى ملاحظه ان يونيكس فقط ، لينكس وماك OSX قذائف يؤيد في الوقت الراهن. لاستخدام النوافذ '%s' الخيار."
"Please set all required settings before clicking Continue","من فضلك قم بضبط كل الإعدادات المطلوبة قبل الضغط على استمرار"
"Preferred stability: %s","الاستقرار المفضل: %s"
"Proceed With Automatic Download (%s)","الاستمرار بالتنزيل الآلي (%s)"
"Provide a complete base URL for SSL connection. For example: %s","توفير قاعدة كاملة للموقع SSL الصدد. على سبيل المثال: %s"
"Report All Bugs","الإبلاغ عن كل الأخطاء"
"Required Fields","حقول مطلوبة"
"Run admin interface with SSL","التفاعل مع تشغيل ادارة SSL"
"Run this in your shell from Magento root folder:","تشغيل هذا بنفسك في شل magento من المجلد الجذر:"
"Save session data in","Save session data in"
"Save session files in","Save session files in"
"Secure Base URL","موقع قاعدة مامونه"
"Session storage options","Session storage options"
"Setting preferred state to: %s","ضبط الحالة المفضلة على: %s"
"Skip Base URL validation before next step","Skip Base URL validation before next step"
"Skip Secure URL validation before next step","القفز على امن قبل التحقق من صحه عنوان الخطوة التالية"
"Table prefix should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","وينبغي ان يتضمن الجدول البادءه الحروف (من الالف الى الياء الاقامة) ، ارقام (0-9) يؤكد او (_) ، الحرف الأول ينبغي ان يكون رسالة"
"Tables Prefix","بادئة الجداول"
"There was a problem installing Magento packages. Please read the log, correct errors and retry again.","هناك خطأ في تنصيب حزم ماجينتو. من فضلك قم بقراءة السجل وتصحيح الأخطاء والمحاولة مرة أخرى."
"This Url is invalid","هذا الرابط غير صحيح"
"Time Zone","المنطقة الزمنية"
"Url ""%s"" is invalid","الرابط ""%s"" غير صحيح"
"Url ""%s"" is not accessible","الرابط ""%s"" غير قابل للوصول"
"Use Secure URLs (SSL)","استخدم المواقع الامنه (SSL)"
"Use Web Server (Apache) Rewrites","استخدام خادم الويب (Apache) يعيد كتابة"
"User Name","اسم المستخدم"
"User Password","كلمة مرور المستخدم"
"Username","اسم المستخدم"
"Web access options","خيارات النفاذ للويب"
"Welcome to Magento's Installation Wizard","مرحبا في معالج تنصيب ماجينتو"
"You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","هل يمكن أن تمكن هذا الخيار لاستخدام خادم الويب يعيد كتابة وظيفة لتحسين محركات البحث الأمثل."
"You're All Set","أنت جاهز"
